,名稱,分類,上映日期,劇情介紹
189,疾厄,恐怖,2021-09-02,片中麥迪森的生活發生了可怕的轉折，開始不斷看到恐怖謀殺案實況的異象，逐漸瀕臨崩潰；當她發現這些宛如噩夢般的幻象，實際上是真實發生過的殘忍血案時，更加陷入痛苦的深淵，而這一切似乎也與一位名叫蓋博瑞的魔鬼有關。
190,邪佞,恐怖,2021-08-27,★改編自網路都市傳說「Holy3」★台北電影獎最佳女主角入圍《愛．殺》陽靚領銜主演★金鐘獎迷你影集／電視電影最佳男配角入圍高英軒加盟演出★為了滿足內心深處的慾望，你願意付出什麼代價？歆妤（陽靚飾）與文杰（高英軒飾）婚後，一直無法順利懷上孩子，對婚姻未來的不安全感讓他不得不尋求各種神祕力量的協助。在一次因為懷疑文杰與助理的關係不單純而導致的爭吵後，開啟了歆妤與神祕聊天群組「Holy3」的對話，「Holy3」幫歆妤挽回了心愛的文杰，卻也將她推進了維繫雙方關係的恐怖深淵......
191,鬼門,恐怖,2021-08-25,★農曆鬼月壓軸強檔！超越《鬼病院：靈異直播》的真實恐懼！★《神偷大劫案》、《正義辯護人》監製打造年度恐怖話題強片！★創新南韓恐怖電影層次！體驗身歷其境、令人窒息的恐怖世界！★集體殺人事件後，荒廢修煉院所發生的極致恐懼體驗！★《鬼病院：靈異直播》攝影指導加盟，南韓最先進拍攝技術，打造全球首部8K電影！★《迴憶》金剛于首度挑戰恐怖片，帶來令人毛骨悚然的驚悚演出！★人氣選秀女團I.O.I成員金素慧大銀幕強勢回歸，挑戰新一代恐怖女王！陰陽兩界，有去無回1990年，一間修煉院發生毛骨悚然的集體殺人事件。此後，修煉院陸續發生離奇的自殺或死亡事故，也讓這間修煉院最後關閉並荒廢多年。一位擁有靈性體質的心靈研究所所長道鎮（金剛于飾演），為了揭開巫師母親在修煉院驅魔時的神秘死因，他來到這間修煉院，並遇見到這邊拍攝恐怖影像，打算獲取比賽獎金的大學生。當他們越深入其中，事態也跟著相對失控；那些縈繞在修煉院的厲鬼，紛紛對他們伸出鬼爪。究竟這群人能否活著離開？而這間修煉院又埋藏了什麼駭人的秘密？【關於電影】超越《鬼病院：靈異直播》，進戲院才能體驗的臨場恐懼繼2018年《鬼病院：靈異直播》嚇翻全台之後，又一讓人頭皮發麻的極致恐怖體驗型電影又將震撼觀眾五感！被譽為「農曆鬼月壓軸強檔」的電影《鬼門》，講述1990年一間修煉院發生集體殺人事件後遭到封閉，之後流淌著巫師血液的心靈研究所所長，以及三位充滿好奇心的大學生們，共同踏足其中，進而發生的一連串恐怖事件。這棟已經荒廢多年的建築物，在殺人事件後怪事頻傳，也將吸引觀眾跟隨主角們的腳步，共同體驗身歷其境、令人窒息的恐怖世界；觀眾也將和片中人物們一起被困在黑暗的建築當中，無法得知何時、何地會出現什麼恐怖事物，帶來極度的不安與緊張感。尤其不同於其他恐怖電影，本片採取南韓最先進拍攝技術，更是全世界首部以8K進行拍攝的作品，開創出讓人耳目一新的「K-Horror」全新層次。此外，本片找來演出過《迴憶》、《消屍的夜晚》等驚悚片，以紮實演技功底完美消化角色的金剛于領銜主演，更是他從影生涯首度挑戰演出恐怖片，吸引了人們的視線。這回他詮釋繼承巫師母親血液、具有靈能力的心靈研究所所長，金剛于也對此表示：「因為被充滿魅力的劇本給吸引，所以挑戰恐怖片演出。為了將我在拍攝現場感受到的恐怖，原封不動地傳達給觀眾，我將盡最大的努力。」一席話傳達了出道20年後，進而挑戰恐怖片演技的感想。此外，人氣選秀女團「I.O.I」成員金素慧，2019年也透過電影《密友禁地》（又譯《致允熙》），接連獲得黃金攝影獎、釜山電影評論家協會獎的「最佳新人女演員獎」肯定，完美從偶像轉型為備受矚目的女演員。她也將飾演為了獲得巨額比賽獎金，決定進入修煉院拍攝恐怖影像的大學生，將展現出不同以往的魅力。她也將搭檔另外兩位飾演大學生的新銳男演員李政衡、洪珍基，共同創造出強烈的恐怖效應，給觀眾留下深刻印象。值得一提的是，本片的拍攝與製作也毫不馬虎，為了完美體現怪事不斷的封閉空間，劇組選在京畿道抱川市一處真實的廢棄建築中進行拍攝。導演心有餘悸地表示：「抱川的廢棄建築，實際上非常可怕，尤其一個人在走廊上走動，就會感受到渾身發抖的寒氣，我也期望讓觀眾們可以直接感受到這一點。」不僅如此，導演與攝影師也利用廢棄建築中的「黑暗」要素，試圖將封閉空間裡的恐懼給最大化，刺激全片以低限的鏡頭去拍攝所有空間，也將讓冤魂從看不見的地方突然出現，帶給觀眾猶如進入鬼屋般的真實恐懼體驗。 
192,暫時停止呼吸2,恐怖,2021-08-20,地表最強盲人再度回歸，續集發生在獨居盲人諾曼（史蒂芬朗飾演）的家被入侵的幾年後，直到過去犯下的惡行被發現後，有人開始悄悄找上門…
193,怪奇大廈,恐怖,2021-07-30,★繼話題賣座恐怖片《鬼病院》，又一韓國凶宅靈異大作等你來試膽！★首支預告在韓公開3日即突破70萬觀看次數，留言數逼近2萬，網友引頸期待！★「浪漫男神」盛駿首部主演電影，為求創作靈感竟闖詭異禁地！★神祕的大廈所發生的5個恐怖故事令人嚇破膽…　　恐怖網路漫畫作家智宇（盛駿飾）為了尋找靈感，而造訪了被稱為「怪奇大廈」的老舊大廈。表情令人難以猜透的大廈管理人（金洪波飾），告訴智宇大廈所發生的不可思議事件，像是504號、708號等……智宇愈聽愈入迷，開始執著於怪奇大廈所發生的一切……
194,厲陰宅3：是惡魔逼我的,恐怖,2021-07-22,《厲陰宅3：是惡魔逼我的》改編自華倫夫婦的真實檔案，該片揭露了一則集恐怖、謀殺與未知惡魔，令人寒毛直豎的故事，讓即便身為資深超自然現象調查者的艾德和羅琳華倫也感到害怕。在這個他們偵辦過最聳人聽聞的案件中，一開始他們要拯救一名年輕男孩的靈魂，接著他們經歷了前所未見的遭遇，並遇見了全美第一位以惡魔附身做為殺人抗辯理由的謀殺嫌犯。
195,韓國校園恐怖怪談：點名沒到的學生,恐怖,2021-07-14,「老師，你身上有種…好聞的味道。」「千萬不要相信他，他不是好東西！」秀雅到鄉間學校實習，發現班上有一名叫英碩的學生總是缺席，而班導點名時也從不會叫到他的名字，同學間也不聞不問，讓她感到好奇。當她利用一次家庭訪問的機會，把他叫回學校上課後，班上卻開始不斷發生怪事，原來那些曾經對他好的同學，都遭遇了恐怖的陰影，而這次，連秀雅也難以倖免，也同時勾起她學生時期的陰影……
196,催魂頻率,恐怖,2021-05-12,★2021年南韓首部恐怖懼作★你有想消除的記憶嗎？在記憶的縫隙中竟藏著不可告人的真相…★好像有人在操控著我…　　過著充實大學生活的英文系學生都賢（李大衛飾），偶然因為轉學生振浩（金南優飾）而對催眠產生興趣。都賢在崔教授（孫昞昊飾）的幫助下接受了催眠治療，但在催眠體驗後，他卻開始看見充滿疑惑的記憶幻影，朋友們也一個接一個開始深受幻影折磨，而遭遇奇怪的事件。崔教授對他們催眠的目的究竟為何？
197,鬼護士,恐怖,2021-05-07,★《黑鏡》《王冠》《搞鬼》幕後團隊奪魂鉅作★停電的醫院，幽暗的長廊，埋藏未知的恐懼，不是每個人都能活著離開…★有死過人的地方，千萬別關燈!恐懼指數直逼《鬼關燈》由於電力失衡，整個城市陷入停電狀態，一片漆黑。一名年輕的護士被迫在殘破的醫院裡值夜班，突然病房緊急服務鈴響起，但其實整間醫院的病人早已撤離到其他地方…令人恐懼的事物悄悄潛伏黑暗中，正準備吞噬她…
198,死亡連鎖,恐怖,2021-05-07,★這場網路死亡遊戲，誰都可能是下個犧牲者！★誰都可能受害，人人都有嫌疑，宛如Z世代版《驚聲尖叫》！★2020洛杉磯尖叫恐怖電影節★2020西班牙錫切斯奇幻影展競賽片接二連三的死亡事件引起惠頓大學學生的恐慌，兇手透過一個社群媒體遊戲來決定下手目標。三名姊妹會成員決定在成為下一位受害者之前，追查出兇手的真實身分，卻意外挖掘出這所大學背後隱藏的黑暗祕密……。
199,真．鮫島事件,恐怖,2021-04-23,★平成最恐怖的網路都市傳說電影化！嚇壞日本網民的禁忌話題★鮫島事件是什麼呢？說出這個名字，就會暴斃慘死！★《咒怨》《犬鳴村》《樹海村》導演清水崇、《白雪公主殺人事件》《預告犯》導演中村義洋齊聲力薦鮫島事件真正的恐怖之處究竟是什麼呢？那天，佐佐木菜奈（武田玲奈　飾）與她的高中同學在線上舉辦了年度的喝酒聚會。不知為何，朋友之一的步美沒有聯繫就直接缺席，此時，裕貴與玲沉重地說出昨晚他們倆跟步美，前往了傳說中20年前「鮫島事件」流傳的事發地點—白風苑，從那時起...步美的樣子就變得很奇怪......「鮫島事件的詛咒」確實存在嗎？陷入恐慌的菜奈以及她的高中同學們，在那裡等著他們的是超乎想像的恐怖......
200,樹海村,恐怖,2021-04-16,★繼締造14億票房佳績的《犬鳴村》後的「恐怖村莊系列」第二彈！★「日本恐怖大師」清水崇以實存靈異景點為題材，再掀「日式恐怖」觀影熱潮！★遭封印於自殺聖地「富士樹海」的詛咒之物「取子箱」即將解禁！★日本竟還存在著絕不能前往的地方…《樹海村》以日本知名的自殺景點．富士樹海為舞臺，敘述據說絕不能在網路上搜尋的「取子箱」，以及因樹海的負能量而產生的瘋狂、混沌現象的故事。從前曾令人們戰慄不已、自古流傳下來的強力詛咒，被封印在富士樹海的深處。13年後，樹海竟開始出現多起失蹤案件……
201,殺戮輪迴,恐怖,2021-04-09,★美國權威影評網站爛番茄93%超高分推薦★美國西南偏南電影節SXSW極高讚賞，顫慄系殺戮電影★媲美《明日邊界》X《忌日快樂》無止盡恐怖時間循環★每天都要痛宰同位陌生男子!戕害他人的百種方式!惡作劇還是幻想!?一位作家發現自己受到神秘男子的威脅跟蹤，男子每晚都會跟蹤到自己家門。當她向丈夫告知，反而受到質疑精神出問題，她只好拿起利刃保護自己。某日她總算與神祕男正面對決，她錯手殺死該男子，沒想到屍體竟然憑空消失，隔天晚上該男子又再度出現。她將此事提報警方，卻因無證據難以受理；上網發文求援，則被認為是在炒作話題，出版社嗅到商機想將此事出版小說。神秘男子從未停止攻擊，結局更是超乎想像翻轉再翻轉...
202,夜遊實驚秀,恐怖,2021-03-26,★夜遊玩過界，病院鬼上身！★廢棄已久的醫院，暗藏不為人知的恐怖祕密…熱門實境節目《Check-InShock》找來大膽又貪財的素人們前往廢棄已久的醫院夜遊。因節目水漲船高的三位實境秀主持人，甚至為了節目精彩度，鼓勵參賽者們互相廝殺！而隨著節目進行，這群參賽者逐漸發現埋藏在這間廢棄醫院背後的駭人祕密……
203,聲魔入侵,恐怖,2021-03-19,★2020柏林影展主競賽片★2020聖賽巴斯提安國際影展拉丁視野單元開幕競賽片★2020台灣國際女性影展，大使9m88特別推薦★2020德國奇幻電影節、倫敦影展、斯德哥爾摩影展★《生命中最抓狂的小事》阿根廷影后艾瑞卡李維、《BPM》凱薩獎最佳新人比斯卡亞、阿莫多瓦御用影后西西莉亞蘿絲、柏林影帝丹尼爾亨德勒詭譎飆戲★《密謀》《天使怎麼了》製作團隊最新驚懼力作★宛如《黑天鵝》遇上《邪典錄音室》的超自然心理驚悚-IndieWire伊內絲是位配音員，同時也在布宜諾斯艾利斯的合唱團唱歌。在一趟風光明媚的旅途中，她遭遇了一場無法復原的創傷性事件。她產生了睡眠障礙，並且有奇怪的聲音開始從她體內發出，讓她經歷栩栩如生的噩夢。醒來後，伊內絲突然覺得周圍的人似乎都來自於她的夢境中……
204,西西里恐怖故事,恐怖,2021-03-19,★《異色童話集》《深海終劫站》幕後團隊再現詭譎哥德式童話★有時候，孩子的殘酷超乎想像…★第65屆陶爾米納電影節  二十世紀初，義大利的美西納為地中海最富有的商埠之一。英國富家子弟彼得，因總是殘忍地對待對待其他孩子、僕人，甚至是動物，而在此地惡名昭彰。某天晚上，家中的僕人男孩襲擊了彼得，並將他埋葬城內一座哥德式墓園之中。然而，一場突如其來的大地震將美西納夷為平地，彼得也從此被眾人遺忘。直到一個世紀後，一名英國考古學家和他的女兒找到了當初埋葬彼得的墓園，彼得的復仇就此展開……
205,魔坑,恐怖,2021-03-12,★《哥吉拉Ⅱ：怪獸之王》《星際救援》幕後團隊駭人打造★煤礦小鎮居民一夕人間蒸發，埋葬40年的祕密即將揭曉在位於阿帕拉契山脈的鄉間小鎮地底下，有座已燃燒數十年的廢棄煤礦。一支研究小隊前往該地試圖找出當年礦坑起火燃燒的原因，卻意外挖掘出更令人吃驚的恐怖祕密……。
206,波麗萊多里鬼屋,恐怖,2021-03-12,★連驅魔專家都束手無策！史上最陰森的真實案件改編，英國鬧鬼最兇鬼屋首度搬上大銀幕！★全球十大最陰森鬼屋之首，驚悚程度超越《厲陰宅》，恐怖更勝《溫徹斯特鬼屋》！★入選西班牙SITGES奇幻影展，一窺英版「華倫夫婦」也無解的鬼屋之謎！有些房子，根本不該入住…改編自1930年代英國真實事件，一位牧師萊納斯（約翰赫夫南飾演）被教會任命為代理牧師，他帶著妻子瑪麗安（潔西卡布朗芬德莉飾演）與女兒小愛搬進一座神秘莊園。但在他們入住這間屋子不久後，奇怪事情接二連三發生，除了在半夜會聽見呢喃聲，還會看見陌生的修道士身影，女兒小愛的行為也越來越陌生，隨著被騷擾的次數越來越多，萊納斯和瑪麗安不得不尋求著名的捉鬼專家哈利（西恩哈里斯飾演）幫忙。他們必須一起揭開真相，找出這棟房子的超自然力量還有它可怕且驚人的過去…。
207,弒樂園,恐怖,2021-03-05,★《阿公當家》製片團隊超狂ㄎㄧㄤ作★一本正經演幹片！尼可拉斯凱吉化身殺神爆打機械人偶★沒有最狂只有更狂！「凱吉瘋」魔性演技再創癲瘋之作一名沉默寡言的男子的車子拋錨，為了換取車子零件來修車，他同意清理一座廢棄的遊樂園。沒想到入夜後，遊樂園裡的機械人偶竟如同遭到附身般活了過來並發狂似地攻擊他。受困於遊樂園中的男子決定大開殺戒，與這群機械人偶展開一場血肉橫飛的殊死鬥……。
208,鬼故事收藏館,恐怖,2021-03-05,★多段式運鏡讓人驚喜連連★首創四個死亡事故串起一段神祕結局，曲折又恐怖★口碑媲美《黑暗中說的鬼故事》★情節讓人不可思議，有趣又具娛樂性一名年輕女子到太平間參加葬禮，充滿好奇心的她，想應徵太平間當助手，在一個神祕的房間裡遇到一位高大又有點恐怖的館長師。這名館長帶著年輕女子參觀他的收藏品，並且還告訴她四個瘋狂、奇異又讓人無法忘記的死亡故事。每段電影情節充滿了驚奇、病態以及推理。然而四段故事情節卻串起了一段不可思議的神秘結局。
209,牛宰褲,恐怖,2021-02-19,★繼《超能輪胎殺人事件》後，又一腦洞大開恐怖喜劇★《渦輪小子》製片群血漿四濺新作★這條牛仔褲不但合身，更會殺到你往生…★2020蒙特婁奇幻影展開幕片一條被附身的牛仔褲有了生命，並決定對一間時尚服飾公司的無良行徑進行報復。當這條牛仔褲被運到了品牌的旗艦店，它決定用最殘忍的手段大肆虐殺連夜加班的員工。隨著受害者越來越多，員工莉比必須趕在這條牛仔褲流入市面上前，解開這條牛仔褲的詛咒之謎……
210,鬼影,恐怖,2021-02-10,★泰國影史恐怖經典之作★自己造的孽，扛著也要還完！★2005泰國曼谷國際電影節★2005美國翠貝卡電影節★2005西班牙錫切斯奇幻電影節　　25歲的泰國攝影師東及女友酒後駕車卻不慎把一名女子撞倒，兩人不但沒有下車探視傷者，反而選擇趕緊駕車逃離現場。意外發生後，離奇怪事就接踵而來，東發現他拍攝的照片中出現一些靈異的光芒及影像，有些照片像是有人站在照相機前，把鏡頭都擋住了。起初，他以為只是拍攝失誤，後來他仔細查證後，才意識到照片中的神秘影像與被他們撞倒的女子容貌竟十分相似，隨著東身邊的朋友神祕地相繼身亡，他決定深入調查這些糾纏他不休的照片後的真相……
211,鬼鄰居,恐怖,2021-02-10,★震驚歐美真實事件改編，今年春節唯一驚嚇首選！★新銳雙導組合初試啼聲，勇奪瑞典新片票房冠軍！★瑞典奧斯卡—金甲蟲獎，強勢橫掃四項大獎提名！★我的鄰居怎麼那麼可怕！孩子交友千萬小心謹慎！一位父親帶著5歲兒子盧卡斯，還有認識多年的女友席琳一起搬到郊外的別墅，準備展開新的家庭生活。當父親離家上班，隔壁早已荒廢多時、久無人居的屋宅時常傳出神秘的聲響，使人夜不能眠；盧卡斯更時常和不知哪來的「新朋友」對話、玩耍。席琳偶然從鄰居口中得知自己新家的秘密：前屋主入住後小孩失蹤、女主人精神異常因而搬離，席琳這才驚覺自家黑暗處有恐怖形體在騷動…
212,養鬼人,恐怖,2021-01-29, 泰國人氣網劇《網紅葛雷絲》女星領銜主演★月蝕來臨，戀人未滿的他們要小心了…在泰國一處偏僻的村落，小普的阿姨阿阮是村莊裡小有名氣的女巫，阿阮姨以嚴厲的教育扶養小普長大，不時地告誡小普唯有保有處女之身，才能侍奉神靈，希望小普能繼她之後，成為村莊的神靈代言人。然而，當小普的青梅竹馬圖恩從大城市返鄉後，一切慢慢有了轉變。帥氣的圖恩令小普初嘗戀愛滋味，也動搖了她成為繼承人的信念。厄運的詛咒逐漸降臨，這對青梅竹馬能否逃離神靈的控制，共同度過這個難關……
213,我的恐怖老爹,恐怖,2021-01-22,★《女巫》《弒婚遊戲》製片團隊驚心打造恐怖喜劇★以為能重溫父子情，卻落入恐怖陷阱？★《魔戒三部曲》「佛羅多」伊利亞伍德飾演軟爛兒子！★2020加拿大卑詩省影視大獎「雄獅獎」（LeoAwards）★2019莫林斯德雷伊恐怖電影節★2019瑞士諾夏特國際奇幻影展★2019西班牙錫切斯奇幻影展★2019史特拉斯堡歐洲奇幻影展   諾佛的人生遇到了一點麻煩，和媽媽住在一起的他有著酒精沉癮的問題。當某天，他收到來自與他關係疏遠的父親意想不到的信，希望諾佛到他的住處小住。諾佛搭上了公車希望與父親的相處能讓人生更加振作，他前往父親遠在河邊的小屋，兩人和好如初。但諾佛開始發現父親有些異狀包括了不適當的發言以及對酒精的依賴。諾佛漸漸地了解到，他所希望的父子談心、維繫關係只是曇花一現，而父親真正的目的將讓這趟旅程成為一場惡夢…
214,殺機追緝令,恐怖,2021-01-15,★《愛情決勝點》坎城影展最佳新人獎，俊美性格男星強納森萊斯梅爾主演★《人類規劃局》製片團隊再造驚悚高峰！★有一些惡夢是在醒來後才開始……★失去了記憶，誰都不能相信，包括自己！★懸疑緊湊劇情波折，讓人猜不到的翻轉結局一名男子在醫院裡醒來，他失去記憶完全不記得自己是誰，卻發現自己因為一連串的謀殺案而被警方追捕中…
215,靈冤而厲,恐怖,2021-01-15,我不是忘記了而是害怕想起來……芮琴幼時目睹母親難產，弟弟因為全身畸形而早夭，母親也因此住進精神病院，為了忘掉幼時的創傷，芮琴離鄉背井到城市生活，期望與男友建立起屬於自己的家庭。然而某日一名陌生男子羅伯來訪，告知芮琴的奶奶在家鄉被榔頭殘忍地敲擊致死，他懷疑當年早夭的艾薩克沒有死，正是榔頭案的殺人兇手，預告一連串的報復行動即將展開。芮琴回到家鄉準備參加奶奶的葬禮，卻意外揭開一樁家族的醜聞，讓她逐漸想起兒時的回憶，更懷疑艾薩克究竟是人還是鬼？然而，小鎮上的命案接踵而來，羅伯的妻子遭人斷頸，羅伯也失蹤了，而芮琴的處境也越來越危險……【關於電影】新銳導演強烈視覺、色彩營造前衛哥德式恐怖風格《靈冤而厲》全片於盧森堡拍攝，是一個黑暗的故事，以罪惡感的反噬貫穿過去與現在，一而再再而三的回憶反轉是全片最大亮點。本片為導演克里斯蒂安．紐曼首部劇情長片，克里斯蒂安除了影像創作外，同時也是一名畫家、藝術家，並擁有自創的時尚品牌，因此他的影像作品也富含強烈的視覺衝擊與個人風格，藉由大量的旋轉鏡頭、明暗對比、蒙太奇，讓觀眾在觀影過程中如坐針氈，完全無法預期下一步走向。全片對白不多，劇情幾乎依靠畫面的變化推進，對此，導演表示自己認為好的對白可以成為很好的提示，但卻非絕對，「相較於對白，我更傾向於用影像說故事，或許是因為我也是一名畫家，所以我對於圖像的感受力、表達力比語言來得更強烈。」克里斯蒂安巧妙運用色彩、服裝、異材質拼貼等細節元素，打造出深入人心的恐懼情緒，例如透過畫面色彩的轉換，呈現主角的處境，豔麗的紅色代表危險靠近，而當色彩愈來愈強烈、閃爍時，則一步步帶出女主角內心世界的失序和崩壞。Metoo女星、邪典大師御用演員參演直指性侵、精神疾病議題本片也大膽直指性暴力、精神疾病等沉重議題，對此，導演表示自己一直以來都對人性的黑暗面相當感興趣，「內心的陰影是人們不可迴避，且確實存在的一部分，人們喜歡看驚悚故事，正是因為它相當寫實。我不喜歡給予觀眾直接的恐怖刺激，而是藉由一層層心理上的考驗，逼著觀眾融入其中，進而正視自己內在的不安。」本片找來以電影《艾瑪》大放異彩，同時也是2017年爆發的好萊塢性醜聞事件中，跳出來指證的受害者之一的女星安柏．安德森主演。安柏將女主角芮琴的詭異神情、不安恐懼，以及不為人知的黑暗過去發揮得淋漓盡致。安柏坦言這是自己首次挑戰恐怖片，這次的演出經驗和以往截然不同。而與她有多場顫慄對手戲的是葛斯范桑、法斯賓德、拉斯馮提爾等名導御用演員烏多．基爾，以及《冰與火之歌：權力遊戲》人氣演員傑佛遜．豪爾，豪華卡司再創心理驚悚新高點。 
216,凶宅怪談,恐怖,2021-01-15,★蟬聯日本票房雙周冠軍TOP1，票房直逼23億★日本恐怖電影大師中田秀夫，挑戰你最深沉的恐懼★KAT-TUN龜梨和也首度主演恐怖片，詮釋讓人脊背發涼的親身經歷★因為死亡很近，讓我變得更想活下去★真人真事改編，最深層的驚悚就在生活中、空間裡，無所不在★殺人、自殺、火災等離奇死亡的事故住宅，諧星為求翻身獨自入住直播恐怖生活★〈凶宅怪談：人可怕還是鬼可怕？〉同名小說由三采文化出版改編自日本最猛凶宅藝人真人真事，龜梨和也首度參演恐怖電影！過氣諧星山野（龜梨和也飾）和拍檔中井（瀨戶康史飾）拆夥後，為了挽救自己的事業，聽從前輩建議：他決定１人隻身入住凶宅，拍攝靈異影像供電視台直播！在擁有陰陽眼的化妝師（奈緒飾）的幫忙下，他在發生過殺人、自殺或火災的凶宅順利拍到幽靈蹤跡。人氣爆升的同時，怪事卻接連發生，不但身邊的人都遭遇不測，連自己都好幾次死裡逃生！為了維持名氣，他不顧別人反對，繼續挑戰各地的凶宅，最後的代價，是被最凶猛的怨魂纏上…
217,致命天際線,恐怖,2020-12-31,★《死侍2》《玩命關頭：特別行動》製片打造超狂高空體驗★《艾莉塔：戰鬥天使》《復仇者聯盟：終局之戰》特效團隊最新力作★「超殺女」克蘿伊摩蕾茲再現銀幕女硬漢形象★2020多倫多國際影展「午夜瘋狂」單元觀眾票選獎二戰期間，一名帶著機密貨物的女飛行員慕德（克蘿伊摩蕾茲飾）登上一台B-17轟炸機，面對不請自來的慕德，男性機組人員對她的不滿與鄙視逐漸高漲，眼看雙方衝突越演越烈之際，他們目擊雲層中出現了神祕暗影，究竟這個暗影本體是來襲的日本空軍，還是潛藏在雲端的未知恐怖？
218,杏林醫院,恐怖,2020-12-31,★《紅衣小女孩》《女鬼橋》後，實地取材全台網友票選鬼屋第一名★陰陽交界生死難料鬼門已開神佛盡散★挑戰你的密室恐懼指數!每張病床離地獄只有半步之遙!鬼門已開，凌晨零點零分時，台灣最大鬧鬼醫院-杏林醫院裡，出現多位準備尋親之人。 由台南最負盛名的法師帶隊，曉玲與妙如，她們各懷目的，義無反顧踏入醫院，曾經在這發生的過往，逐漸湧上眼前。不料，醫院陰氣太重，壓的眾人喘不過氣；無法投胎的怨魂糾纏，生死危在旦夕…
219,鬼巢,恐怖,2020-12-18,★《我愛故我在》製片團隊打造駭人懸疑新作★如煉獄般的家與極窒母愛，該何去何從？★2020義大利國際電影記者委員會獎最佳新進導演提名★2019西班牙錫切斯奇幻影展最佳影片提名★2019瑞士盧卡諾影展★2019希臘塞薩洛尼基電影節　　山姆和母親伊蓮娜住在深山裡的豪宅，山姆因下半身癱瘓而長期只在豪宅裡活動，母親時時刻刻的照顧著他，不准他外出。直到有天，一個年輕的女僕丹妮絲出現在他們單調的生活中。因為她的出現，山姆對世界開始有了的希望和好奇，而伊蓮娜卻百般阻撓，不讓山姆離開這座如監獄似的豪宅，不僅如此，她甚至對丹妮絲展開恐怖的報復……
220,戀愛進行弒,恐怖,2020-12-18,★《屍控一夜情》製片團隊再次嚇阻速食愛情！★當騙砲仔遇上恐怖情人令人難以忘懷的「豔遇」即將展開★配對成功前請三思，滑的好有豔遇；滑不好要你命！   哈里斯是個流連於交友軟體的花花公子，總是在一夜情結束後找盡各種理由消失，比起談戀愛他更喜歡花時間在工作和電玩上。某日，哈里斯一如既往地在交友軟體上左右尋歡，並與超辣女子萊利配對成功，但是萊利並不向其他女孩一樣好擺脫，哈里斯也漸漸發現他的生活因為她的出現開始分崩離析…
221,老闆衝殺小,懸疑/驚悚,2021-09-10,★泰國國片首周票房冠軍！《淒厲人妻》製作團隊打造最新爆笑懸疑恐怖喜劇！★2021泰國最強「職場黑色喜劇」！上班族必看，社畜們更不能錯過的舒壓電影！★泰版「黑嘉嘉」Ｘ「任容萱」化身最美OL偵探，攜手密調神秘帥老闆！為工作賣命，老闆還要你命！咩莎（Mookda飾）和莫綺（Ice飾）曾是高中同學，出了社會又恰巧在同一間公司工作，這間公司不僅朝氣蓬勃，還有個令人稱羨的高富帥老闆（Kong飾）。不料某天，她們卻從同事的隨身碟中意外發現這個「天菜老闆」疑似就是惡名昭彰、專殺小資女的「OL連續殺人魔」！驚嚇之餘，她們決定開始調查老闆的真實身分，除了在辦公室探尋蛛絲馬跡，甚至還冒險潛入老闆家尋找證據。然而當她們越接近真相時，卻也逐漸身陷險境…究竟她們有沒有辦法揪出殺人兇手並全身而退？
